t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
0.690000,"[1.1091856956481934, 1.2349423170089722, -11.705957412719727]","[3.3819667724779148, 3.1826859111098416, -10.0]","[2.2616169452667236, 2.1029040813446045, -1.8981508016586304]","[0.4980669558117357, 0.0841039327426686, 0.17052175628582597, 0.0]","[-0.08521366119384766, 0.4051557779312134, 4.014922142028809]","[0.781464695930481, 1.5025650262832642, 1.2603349685668945]","[0.0, 0.0, 0.0]"
0.700000,"[1.1432795524597168, 1.26667058467865, -11.734198570251465]","[3.4289780745545158, 3.2210884361884573, -10.0]","[2.2840960025787354, 2.1273162364959717, -1.8672679662704468]","[0.4986346509195326, 0.07767273029137939, 0.16782684397253184, 0.0]","[-0.10073953866958618, 0.3791288435459137, 3.9193670749664307]","[0.7683638334274292, 1.4778313636779785, 1.2792596817016602]","[0.0, 0.0, 0.0]"
0.710000,"[1.1777089834213257, 1.298759937286377, -11.761977195739746]","[3.475903652357845, 3.259168855107685, -10.0]","[2.3063454627990723, 2.151045799255371, -1.8366053104400635]","[0.49942261130786947, 0.07118854252574103, 0.16502603678555633, 0.0]","[-0.11131592839956284, 0.35261234641075134, 3.815199375152588]","[0.7560654878616333, 1.4530410766601562, 1.2960376739501953]","[0.0, 0.0, 0.0]"
0.720000,"[1.212470293045044, 1.331200122833252, -11.789299011230469]","[3.5227423327509015, 3.296923359857367, -10.0]","[2.328364372253418, 2.1740856170654297, -1.8061838150024414]","[0.5005877047081608, 0.06465754710067079, 0.16212037436293722, 0.0]","[-0.11533031612634659, 0.3241317868232727, 3.6915674209594727]","[0.7438340187072754, 1.4277653694152832, 1.3140630722045898]","[0.0, 0.0, 0.0]"
0.730000,"[1.2546173334121704, 1.3705765008926392, -11.821484565734863]","[3.5694929447691157, 3.3343481750184907, -10.0]","[2.3544816970825195, 2.200812816619873, -1.7700368165969849]","[0.5021318654335473, 0.05330939559778851, 0.15421540192114006, 0.0]","[-0.1197117269039154, 0.2905912399291992, 3.539478302001953]","[0.8438246250152588, 1.5216050148010254, 1.486374855041504]","[0.0, 0.0, 0.0]"
0.740000,"[1.2900968790054321, 1.4037514925003052, -11.84781265258789]","[3.616154319649622, 3.3714395581407275, -10.0]","[2.376000165939331, 2.222318649291992, -1.7402867078781128]","[0.5044487338404982, 0.04672552649847647, 0.1510859765778517, 0.0]","[-0.11158941686153412, 0.2516750693321228, 3.3479163646698]","[0.8016247749328613, 1.4630653858184814, 1.473978042602539]","[0.0, 0.0, 0.0]"
0.750000,"[1.3258976936340332, 1.4372440576553345, -11.873697280883789]","[3.662725290860478, 3.4081938001166727, -10.0]","[2.397308826446533, 2.243136405944824, -1.7109923362731934]","[0.5074264076524632, 0.0401096478243123, 0.14784450418996234, 0.0]","[-0.09628012776374817, 0.2066529244184494, 3.1162521839141846]","[0.7678903341293335, 1.4143439531326294, 1.476059913635254]","[0.0, 0.0, 0.0]"
0.760000,"[1.3620166778564453, 1.471043586730957, -11.89914608001709]","[3.709204694129829, 3.4446072255527582, -10.0]","[2.4184041023254395, 2.2632312774658203, -1.682403564453125]","[0.5103631753692212, 0.0334809332610699, 0.14449284705584514, 0.0]","[-0.08590792119503021, 0.16149002313613892, 2.887815475463867]","[0.7441669702529907, 1.376071572303772, 1.4746284484863281]","[0.0, 0.0, 0.0]"
0.770000,"[1.398450255393982, 1.5051387548446655, -11.924174308776855]","[3.755591367475014, 3.480676193136785, -10.0]","[2.439260959625244, 2.2825567722320557, -1.654646396636963]","[0.5136662575918897, 0.026854473706491473, 0.14104352238180085, 0.0]","[-0.0644204244017601, 0.11585591733455658, 2.633634090423584]","[0.72420334815979, 1.3408746719360352, 1.4729700088500977]","[0.0, 0.0, 0.0]"
0.780000,"[1.4351948499679565, 1.539518117904663, -11.94879150390625]","[3.8018841512316164, 3.5163970960020525, -10.0]","[2.459872007369995, 2.3011116981506348, -1.627694010734558]","[0.516806985274968, 0.020231640271112048, 0.1375006815517901, 0.0]","[-0.03470908850431442, 0.07561950385570526, 2.3877015113830566]","[0.7066057920455933, 1.3065154552459717, 1.4641523361206055]","[0.0, 0.0, 0.0]"
0.790000,"[1.4722470045089722, 1.5741699934005737, -11.973011016845703]","[3.8480818880824526, 3.5517663620880406, -10.0]","[2.480255365371704, 2.318915605545044, -1.6015956401824951]","[0.5197360000962689, 0.013610983386635692, 0.13385753452742594, 0.0]","[0.002859443426132202, 0.04167260229587555, 2.1532979011535645]","[0.692304253578186, 1.2751954793930054, 1.4475030899047852]","[0.0, 0.0, 0.0]"
0.800000,"[1.5096029043197632, 1.6090832948684692, -11.996844291687012]","[3.8941834230865076, 3.586780454497616, -10.0]","[2.5003950595855713, 2.335946798324585, -1.576312780380249]","[0.5219637927637792, 0.007006279817971963, 0.13012099944837566, 0.0]","[0.03836631029844284, 0.01683606021106243, 1.9623891115188599]","[0.6826740503311157, 1.2478487491607666, 1.417344093322754]","[0.0, 0.0, 0.0]"
0.810000,"[1.5472590923309326, 1.644245982170105, -12.020303726196289]","[3.9401876037078063, 3.621435871850714, -10.0]","[2.520258665084839, 2.3521735668182373, -1.551768183708191]","[0.5230807816264783, 0.0004335997983380516, 0.1263045250363379, 0.0]","[0.060499366372823715, -0.0002942383289337158, 1.8402475118637085]","[0.6773210763931274, 1.2224265336990356, 1.369278907775879]","[0.0, 0.0, 0.0]"
0.820000,"[1.5775970220565796, 1.672547459602356, -12.038810729980469]","[3.9860932798442312, 3.655729148634481, -10.0]","[2.5359208583831787, 2.36456298828125, -1.5325313806533813]","[0.5239296812308374, -0.0016291037534111434, 0.12741938137005818, 0.0]","[0.0815378800034523, -0.013139923103153706, 1.7447738647460938]","[0.5693763494491577, 1.1095690727233887, 1.2002573013305664]","[0.0, 0.0, 0.0]"
0.830000,"[1.6234527826309204, 1.7152706384658813, -12.066140174865723]","[4.031899303856269, 3.6896568555498157, -10.0]","[2.5589795112609863, 2.382150888442993, -1.504041075706482]","[0.5242640029096772, -0.01257607924995116, 0.11850671685004346, 0.0]","[0.10030002892017365, -0.026581935584545135, 1.6632493734359741]","[0.6908984184265137, 1.1881318092346191, 1.30572509765625]","[0.0, 0.0, 0.0]"
0.840000,"[1.6619799137115479, 1.7511080503463745, -12.08852481842041]","[4.077604530595704, 3.7232155998542984, -10.0]","[2.5777933597564697, 2.3959085941314697, -1.4805727005004883]","[0.5242936490910723, -0.019008222594816993, 0.1145452679611151, 0.0]","[0.11444495618343353, -0.035782329738140106, 1.6127293109893799]","[0.6769627332687378, 1.1546931266784668, 1.2548656463623047]","[0.0, 0.0, 0.0]"
0.850000,"[1.7007865905761719, 1.787145733833313, -12.11055850982666]","[4.12320781743425, 3.7564020257014654, -10.0]","[2.596252918243408, 2.4088783264160156, -1.4572211503982544]","[0.5249112301810999, -0.025398498536465575, 0.1105404995767615, 0.0]","[0.1332142949104309, -0.04958086833357811, 1.5262559652328491]","[0.6609218120574951, 1.120634913444519, 1.2245941162109375]","[0.0, 0.0, 0.0]"
0.860000,"[1.7398673295974731, 1.8233720064163208, -12.132242202758789]","[4.16870802429211, 3.7892128144763864, -10.0]","[2.614341974258423, 2.421051025390625, -1.4339451789855957]","[0.5252001636972435, -0.03173511134811974, 0.10650160527649072, 0.0]","[0.14743824303150177, -0.05110529065132141, 1.4681241512298584]","[0.6510568857192993, 1.0940001010894775, 1.1994352340698242]","[0.0, 0.0, 0.0]"
0.870000,"[1.7792162895202637, 1.8597745895385742, -12.15357780456543]","[4.214104013666483, 3.821644685127527, -10.0]","[2.631990671157837, 2.432343006134033, -1.4107962846755981]","[0.5251322622409026, -0.037983100493788315, 0.1024576204605897, 0.0]","[0.16081398725509644, -0.0269396360963583, 1.4390175342559814]","[0.6441881656646729, 1.0698769092559814, 1.1746950149536133]","[0.0, 0.0, 0.0]"
0.880000,"[1.8188263177871704, 1.8963396549224854, -12.174567222595215]","[4.259394650659998, 3.853694394494848, -10.0]","[2.649162769317627, 2.4427430629730225, -1.3877216577529907]","[0.5252630785982977, -0.04413570616302566, 0.09842445630131641, 0.0]","[0.17290879786014557, 0.0059052277356386185, 1.398810625076294]","[0.6332008838653564, 1.0399125814437866, 1.158163070678711]","[0.0, 0.0, 0.0]"
0.890000,"[1.8586905002593994, 1.9330544471740723, -12.195210456848145]","[4.304578803009091, 3.8853587376341205, -10.0]","[2.665879011154175, 2.452316999435425, -1.364658236503601]","[0.5257910045626197, -0.050213354953364306, 0.09439679802635663, 0.0]","[0.18363948166370392, 0.03942924737930298, 1.3353416919708252]","[0.6188129186630249, 1.0082212686538696, 1.1533689498901367]","[0.0, 0.0, 0.0]"
0.900000,"[1.8988022804260254, 1.9699068069458008, -12.215508460998535]","[4.349655341112305, 3.9166345481374187, -10.0]","[2.68215274810791, 2.4610776901245117, -1.3416271209716797]","[0.5262986172572914, -0.056215919615816776, 0.0903723318522232, 0.0]","[0.192144513130188, 0.08608335256576538, 1.277239441871643]","[0.6051464080810547, 0.9799339771270752, 1.1519432067871094]","[0.0, 0.0, 0.0]"
0.910000,"[1.9391547441482544, 2.0068843364715576, -12.235461235046387]","[4.3946231380585346, 3.9475186984497537, -10.0]","[2.6979751586914062, 2.468994617462158, -1.3186997175216675]","[0.5266921726987157, -0.062127298975401604, 0.08635710287494476, 0.0]","[0.19422468543052673, 0.13966771960258484, 1.2288237810134888]","[0.5926456451416016, 0.9526427388191223, 1.1495380401611328]","[0.0, 0.0, 0.0]"
0.920000,"[1.9797409772872925, 2.0439741611480713, -12.255070686340332]","[4.4394810696552, 3.9780081001818313, -10.0]","[2.713331937789917, 2.476069927215576, -1.2958847284317017]","[0.5270228476152208, -0.06794390503695438, 0.08235922532789361, 0.0]","[0.18952591717243195, 0.1917329877614975, 1.1859548091888428]","[0.5798097848892212, 0.9236235618591309, 1.146286964416504]","[0.0, 0.0, 0.0]"
0.930000,"[2.0205540657043457, 2.0811641216278076, -12.274338722229004]","[4.484228014456347, 4.008099704418887, -10.0]","[2.7282204627990723, 2.482329845428467, -1.2731609344482422]","[0.5273504151588945, -0.073671552579932, 0.0783824752607539, 0.0]","[0.17931368947029114, 0.23695489764213562, 1.1451420783996582]","[0.566230297088623, 0.89432293176651, 1.1435203552246094]","[0.0, 0.0, 0.0]"
0.940000,"[2.061586856842041, 2.1184418201446533, -12.293266296386719]","[4.528862853790685, 4.037790502025573, -10.0]","[2.7426393032073975, 2.4877820014953613, -1.250507116317749]","[0.5276221690568578, -0.0793087659285312, 0.074430282067845, 0.0]","[0.16496504843235016, 0.2750697135925293, 1.1105625629425049]","[0.552552342414856, 0.8662446141242981, 1.1407060623168945]","[0.0, 0.0, 0.0]"
0.950000,"[2.102832555770874, 2.1557953357696533, -12.31185531616211]","[4.5733844717895575, 4.06707752394687, -10.0]","[2.756582498550415, 2.492422342300415, -1.2279115915298462]","[0.5276309845522991, -0.0848498203429747, 0.07050763011704139, 0.0]","[0.14376990497112274, 0.3037776052951813, 1.0959197282791138]","[0.5393425822257996, 0.8384867310523987, 1.1344327926635742]","[0.0, 0.0, 0.0]"
0.960000,"[2.1442837715148926, 2.1932122707366943, -12.33010482788086]","[4.617791755414832, 4.095957841504993, -10.0]","[2.7700424194335938, 2.496258020401001, -1.2053576707839966]","[0.5274564090506021, -0.09029305742750626, 0.06662050526330522, 0.0]","[0.11669691652059555, 0.32126960158348083, 1.0965934991836548]","[0.5261426568031311, 0.8101740479469299, 1.1260967254638672]","[0.0, 0.0, 0.0]"
0.970000,"[2.1859333515167236, 2.2306807041168213, -12.348016738891602]","[4.66208359448673, 4.124428566692252, -10.0]","[2.783010482788086, 2.4993062019348145, -1.182785153388977]","[0.5273149664605734, -0.09564091150294032, 0.06277519357557472, 0.0]","[0.08683601766824722, 0.3277420103549957, 1.0996150970458984]","[0.5123612880706787, 0.7820553183555603, 1.120412826538086]","[0.0, 0.0, 0.0]"
0.980000,"[2.227773666381836, 2.2681891918182373, -12.365589141845703]","[4.706258881711583, 4.1524868524598535, -10.0]","[2.795478582382202, 2.5015716552734375, -1.1601506471633911]","[0.5269511458851462, -0.10089137741280776, 0.05897781590049703, 0.0]","[0.0515950508415699, 0.3229704797267914, 1.1223411560058594]","[0.49890005588531494, 0.7551625967025757, 1.1136560440063477]","[0.0, 0.0, 0.0]"
0.990000,"[2.2697970867156982, 2.305725574493408, -12.382821083068848]","[4.750316512709511, 4.180129893002604, -10.0]","[2.8074405193328857, 2.5030555725097656, -1.137436032295227]","[0.5267986012221152, -0.10604042896888227, 0.055234275105584506, 0.0]","[0.01738816872239113, 0.31131675839424133, 1.1372027397155762]","[0.4840908646583557, 0.727569580078125, 1.1126213073730469]","[0.0, 0.0, 0.0]"
1.000000,"[2.3119959831237793, 2.343278646469116, -12.399712562561035]","[4.794255386042033, 4.207354924039484, -10.0]","[2.8188986778259277, 2.5037806034088135, -1.11461341381073]","[0.5266190168153577, -0.1110930569808747, 0.05154673415807076, 0.0]","[-0.018251970410346985, 0.29186680912971497, 1.1602145433425903]","[0.46898597478866577, 0.70024573802948, 1.1134538650512695]","[0.0, 0.0, 0.0]"
1.010000,"[2.354363203048706, 2.3808369636535645, -12.416260719299316]","[4.838074403239604, 4.234159223090078, -10.0]","[2.8298568725585938, 2.503758192062378, -1.0917161703109741]","[0.5265087896509731, -0.1160495919061511, 0.047917026520250504, 0.0]","[-0.052483513951301575, 0.2689058780670166, 1.1848341226577759]","[0.4531768560409546, 0.6729322671890259, 1.1162042617797852]","[0.0, 0.0, 0.0]"
1.020000,"[2.396890878677368, 2.4183895587921143, -12.432464599609375]","[4.8817724688290784, 4.260540109746817, -10.0]","[2.840322256088257, 2.5030059814453125, -1.0687412023544312]","[0.526439635915248, -0.12091311810105403, 0.0443457971302852, 0.0]","[-0.08468016982078552, 0.24527423083782196, 1.2129489183425903]","[0.4370132088661194, 0.6459780931472778, 1.1202020645141602]","[0.0, 0.0, 0.0]"
1.030000,"[2.439572334289551, 2.455925464630127, -12.448323249816895]","[4.925348490361089, 4.286494945943018, -10.0]","[2.85029935836792, 2.5015358924865723, -1.0456998348236084]","[0.5264070119286113, -0.1256845845250317, 0.040833918706172624, 0.0]","[-0.11462409794330597, 0.2220502346754074, 1.244706153869629]","[0.42094165086746216, 0.6198325753211975, 1.124861717224121]","[0.0, 0.0, 0.0]"
1.040000,"[2.4823994636535645, 2.493433952331543, -12.463835716247559]","[4.96880137843737, 4.3120211362166945, -10.0]","[2.8597893714904785, 2.4993553161621094, -1.0226008892059326]","[0.5264072191213315, -0.13036319976931088, 0.037384439265689705, 0.0]","[-0.141668438911438, 0.19986917078495026, 1.2802760601043701]","[0.4049491286277771, 0.5942447781562805, 1.1298046112060547]","[0.0, 0.0, 0.0]"
1.050000,"[2.5253655910491943, 2.530904531478882, -12.479001998901367]","[5.0121300467379815, 4.337116127970086, -10.0]","[2.8687944412231445, 2.4964756965637207, -0.9994521737098694]","[0.5264228964607127, -0.13494979170081603, 0.033999587525282225, 0.0]","[-0.16705799102783203, 0.17840811610221863, 1.3206297159194946]","[0.3888862729072571, 0.5689359903335571, 1.1345338821411133]","[0.0, 0.0, 0.0]"
1.060000,"[2.56846284866333, 2.568326711654663, -12.493820190429688]","[5.055333412048473, 4.361777411724933, -10.0]","[2.8773202896118164, 2.492910146713257, -0.97626131772995]","[0.5264906084511652, -0.13944586682731164, 0.030680681888930226, 0.0]","[-0.19067078828811646, 0.15880033373832703, 1.363204002380371]","[0.372749924659729, 0.5440712571144104, 1.1394948959350586]","[0.0, 0.0, 0.0]"
1.070000,"[2.6116843223571777, 2.6056902408599854, -12.50829029083252]","[5.098410394286961, 4.38600252137341, -10.0]","[2.885370969772339, 2.488670587539673, -0.9530320167541504]","[0.5266623485454733, -0.14385260524476612, 0.02742913350610268, 0.0]","[-0.21224161982536316, 0.14195068180561066, 1.4044455289840698]","[0.3565639853477478, 0.5198822021484375, 1.145522117614746]","[0.0, 0.0, 0.0]"
1.080000,"[2.6550233364105225, 2.6429853439331055, -12.522411346435547]","[5.141359916531134, 4.409789034424739, -10.0]","[2.8929519653320312, 2.4837663173675537, -0.9297794699668884]","[0.5269454885247615, -0.14817038146837724, 0.024245644109565707, 0.0]","[-0.22874629497528076, 0.1296178549528122, 1.443706750869751]","[0.34045690298080444, 0.4963876008987427, 1.1524419784545898]","[0.0, 0.0, 0.0]"
1.090000,"[2.698472499847412, 2.680202007293701, -12.536184310913086]","[5.184180905045173, 4.433134572247438, -10.0]","[2.9000654220581055, 2.4782018661499023, -0.9065258502960205]","[0.5274595838627141, -0.1523976858142218, 0.021131933053666233, 0.0]","[-0.24425575137138367, 0.1190088540315628, 1.4726617336273193]","[0.32470667362213135, 0.4742804765701294, 1.1617860794067383]","[0.0, 0.0, 0.0]"
1.100000,"[2.742025136947632, 2.71733021736145, -12.54960823059082]","[5.226872289306595, 4.456036800307179, -10.0]","[2.906710624694824, 2.4719791412353516, -0.8832831978797913]","[0.5282762566155561, -0.15653175612198225, 0.018091931523270866, 0.0]","[-0.2583145499229431, 0.10798732936382294, 1.4868083000183105]","[0.3086674213409424, 0.45268285274505615, 1.174729347229004]","[0.0, 0.0, 0.0]"
1.110000,"[2.7856738567352295, 2.7543599605560303, -12.562684059143066]","[5.269433002033017, 4.478493428400239, -10.0]","[2.9128994941711426, 2.4651119709014893, -0.860105574131012]","[0.5293135180784709, -0.16057438674046792, 0.015125948945141368, 0.0]","[-0.26843443512916565, 0.09674574434757233, 1.4912140369415283]","[0.29181796312332153, 0.43039095401763916, 1.188934326171875]","[0.0, 0.0, 0.0]"
1.120000,"[2.8294119834899902, 2.7912821769714355, -12.575411796569824]","[5.311861979208837, 4.5005022108825266, -10.0]","[2.918651580810547, 2.4576189517974854, -0.8370717763900757]","[0.5306317549229186, -0.16452993007624184, 0.012228609971402786, 0.0]","[-0.27395394444465637, 0.08457645028829575, 1.4808076620101929]","[0.2750276029109955, 0.4090195298194885, 1.203883171081543]","[0.0, 0.0, 0.0]"
1.130000,"[2.8732330799102783, 2.828087329864502, -12.587797164916992]","[5.354158160111837, 4.522060946894131, -10.0]","[2.9239754676818848, 2.449500560760498, -0.8142364621162415]","[0.5322882164351814, -0.16839546356070276, 0.00939824596137145, 0.0]","[-0.2769245207309723, 0.06966514140367508, 1.4509601593017578]","[0.2588905692100525, 0.3893941044807434, 1.2199745178222656]","[0.0, 0.0, 0.0]"
1.140000,"[2.917130947113037, 2.8647656440734863, -12.599841117858887]","[5.396320487339695, 4.543167480579417, -10.0]","[2.9288737773895264, 2.4407496452331543, -0.7916608452796936]","[0.53427989839854, -0.17216485219593228, 0.006636820525148486, 0.0]","[-0.27521762251853943, 0.05310770869255066, 1.4012534618377686]","[0.24314823746681213, 0.37046003341674805, 1.236715316772461]","[0.0, 0.0, 0.0]"
